"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"1","2000NV029039","LOAMY",6372966.46319628,3737711.79294039,20,8,"NASIS",NA
"2","2000NV029040","CLAYEY",6369346.94764824,3750770.74853447,64,16,"NASIS",NA
"3","S2000CA091001","FINE-LOAMY",6254690.82545431,3793829.88259675,27,6,"NASIS",NA
"4","S2000CA091002","FINE-LOAMY",6254930.82075363,3793825.63280417,27,6,"NASIS",NA
"5","S2000CA091003","FINE-LOAMY",6255077.2796037,3794269.48234796,27,6,"NASIS",NA
"6","S2000CA017001","FINE-LOAMY",6267572.97442489,3713025.79983987,27,6,"NASIS",NA
"8","S2000CA017003","FINE-LOAMY",6267888.52145167,3713063.99544179,27,6,"NASIS",NA
"9","1978NV029005","CLAYEY",6369677.59241797,3736505.85265461,64,16,"NASIS",NA
"10","1978NV029008","LOAMY-SKELETAL",6369986.32950452,3734530.80080329,20,8,"NASIS",NA
"11","1978NV029009","LOAMY-SKELETAL",6367515.63839533,3731855.65623838,20,8,"NASIS",NA
"12","1984NV029003","LOAMY-SKELETAL",6372227.15969201,3748463.34494954,20,8,"NASIS",NA
"13","1984NV029004","CLAYEY-SKELETAL",6373231.73865359,3751282.12666249,64,16,"NASIS",NA
"14","1984NV029006","CLAYEY",6375800.63414124,3749608.28609722,64,16,"NASIS",NA
"15","1984NV029008","CLAYEY",6372191.70614072,3752956.2189164,64,16,"NASIS",NA
"16","1983NV029059","LOAMY-SKELETAL",6369763.19699146,3747438.8031994,20,8,"NASIS",NA
"17","1983NV029060","LOAMY-SKELETAL",6380548.92201429,3750661.52736453,20,8,"NASIS",NA
"18","1984NV029009","CLAYEY",6380824.76154634,3749025.58566737,64,16,"NASIS",NA
"19","1984NV029010","LOAMY-SKELETAL",6380249.292813,3748936.53004781,20,8,"NASIS",NA
"20","1984NV029014","LOAMY-SKELETAL",6378170.96087353,3751663.92779421,20,8,"NASIS",NA
"21","1984NV029012","CLAYEY",6377266.01979149,3750016.99396865,64,16,"NASIS",NA
"22","1984NV029013","LOAMY-SKELETAL",6377085.73265922,3749908.20714018,20,8,"NASIS",NA
"23","1984NV029015","CLAYEY-SKELETAL",6375083.45679281,3750730.89447379,64,16,"NASIS",NA
"24","1978NV029011","FINE-LOAMY",6366834.29576763,3736573.07232023,27,6,"NASIS",NA
"25","02CA693LoHaganssnowtel","COARSE-LOAMY",6325879.71715851,3691058.81648424,10,8,"NASIS",NA
"26","02CA693LoFallensnowtel","COARSE-LOAMY",6318540.09163793,3702921.83302384,10,8,"NASIS",NA
"27","02CA693LoHeavenlysnowtel","COARSE-LOAMY",6329826.92287301,3698351.26554001,10,8,"NASIS",NA
"28","2000NV029041","CLAYEY",6370632.56451241,3734716.62898065,64,16,"NASIS",NA
"29","2000NV029042","VERY-FINE",6369504.7504542,3742531.60377678,74,12,"NASIS",NA
"30","2000NV029044","LOAMY-SKELETAL",6365128.73525985,3737196.91240908,20,8,"NASIS",NA
"31","1983NV029010","CLAYEY",6365095.24170596,3752574.06293476,64,16,"NASIS",NA
"32","1983NV029912","LOAMY-SKELETAL",6368963.19572189,3748624.31177597,20,8,"NASIS",NA
"33","1984NV029001","LOAMY-SKELETAL",6369355.10975583,3753477.66149658,20,8,"NASIS",NA
"34","1983NV029013","LOAMY-SKELETAL",6365337.725526,3753086.39629418,20,8,"NASIS",NA
"35","1983NV029017","CLAYEY",6367566.07407279,3754434.49609277,64,16,"NASIS",NA
"36","1983NV029018","CLAYEY",6369869.75413146,3748548.78618456,64,16,"NASIS",NA
"37","2002NV029001","CLAYEY",6367849.44796301,3749671.43595177,64,16,"NASIS",NA
"38","1983NV029019","CLAYEY",6367695.18215519,3752641.45301961,64,16,"NASIS",NA
"39","1983NV029020","LOAMY",6366976.00582013,3752758.919011,20,8,"NASIS",NA
"40","1983NV029021","LOAMY-SKELETAL",6368039.42145006,3752798.51235056,20,8,"NASIS",NA
"41","1983NV029023","LOAMY-SKELETAL",6367914.35061122,3753160.77298881,20,8,"NASIS",NA
"42","1983NV029024","CLAYEY",6369296.46988242,3747745.27061835,64,16,"NASIS",NA
"43","1983NV029025","CLAYEY",6367290.75788541,3747564.16220687,64,16,"NASIS",NA
"44","1983NV029026","CLAYEY",6369138.70643255,3747175.13779197,64,16,"NASIS",NA
"45","1983NV029027","FINE-LOAMY",6365296.46296859,3750499.31035513,27,6,"NASIS",NA
"46","1983NV029029","CLAYEY",6372381.89605103,3739031.77286803,64,16,"NASIS",NA
"47","1983NV029030","CLAYEY",6371868.55717134,3738534.93682023,64,16,"NASIS",NA
"48","1983NV029031","CLAYEY",6372295.78578421,3738992.43294816,64,16,"NASIS",NA
"49","1983NV029032","LOAMY",6373724.89543824,3739444.45433107,20,8,"NASIS",NA
"50","1983NV029033","LOAMY",6373325.84554777,3739270.77964753,20,8,"NASIS",NA
"51","1983NV029035","VERY-FINE",6371392.8217567,3745171.64867888,74,12,"NASIS",NA
"52","1983NV029036","CLAYEY",6370072.05076862,3745110.3898683,64,16,"NASIS",NA
"53","1983NV029038","CLAYEY",6369500.84330227,3744858.36390113,64,16,"NASIS",NA
"54","1983NV029039","CLAYEY",6369579.58704569,3739605.70187771,64,16,"NASIS",NA
"55","1983NV029041","LOAMY",6373143.73149598,3739065.1265652,20,8,"NASIS",NA
"56","1983NV029046","CLAYEY",6378539.24110428,3741355.62717789,64,16,"NASIS",NA
"57","1983NV029047","CLAYEY",6375213.25946716,3741660.36758364,64,16,"NASIS",NA
"58","1983NV029044","LOAMY-SKELETAL",6377459.99391435,3736518.05586852,20,8,"NASIS",NA
"59","1983NV029048","CLAYEY",6373998.13123368,3741436.87866888,64,16,"NASIS",NA
"60","1983NV029049","LOAMY-SKELETAL",6376804.04315674,3742065.08612436,20,8,"NASIS",NA
"61","1983NV029050","LOAMY-SKELETAL",6376196.75701917,3741498.56592591,20,8,"NASIS",NA
"62","1983NV029051","LOAMY-SKELETAL",6378544.68018137,3738821.88764024,20,8,"NASIS",NA
"63","1983NV029052","LOAMY-SKELETAL",6377319.22796478,3738925.40469263,20,8,"NASIS",NA
"64","1983NV029053","LOAMY-SKELETAL",6376605.17294094,3739429.3569258,20,8,"NASIS",NA
"65","1983NV029054","LOAMY-SKELETAL",6376997.76512088,3739215.5209154,20,8,"NASIS",NA
"66","1983NV029055","LOAMY-SKELETAL",6374976.57754024,3741438.43307437,20,8,"NASIS",NA
"67","1984NV029002","LOAMY-SKELETAL",6376560.86105426,3738083.16196298,20,8,"NASIS",NA
"68","1978NV029001","CLAYEY",6369790.69105663,3731179.29634527,64,16,"NASIS",NA
"69","1978NV029002","CLAYEY",6370497.35847296,3730644.59531401,64,16,"NASIS",NA
"70","1978NV029003","LOAMY-SKELETAL",6371813.23380755,3731227.85750249,20,8,"NASIS",NA
"71","1978NV029013","CLAYEY",6367147.41212513,3736252.4043005,64,16,"NASIS",NA
"72","1978NV029014","FINE-LOAMY",6366991.56773733,3735779.16585039,27,6,"NASIS",NA
"73","1978NV029015","LOAMY-SKELETAL",6362805.02313097,3735533.28689233,20,8,"NASIS",NA
"74","1978NV029016","LOAMY-SKELETAL",6362818.19546908,3735399.40912284,20,8,"NASIS",NA
"75","1978NV029017","LOAMY-SKELETAL",6366615.20213988,3733325.41632495,20,8,"NASIS",NA
"76","1978NV029018","LOAMY-SKELETAL",6367082.63340261,3733835.77581179,20,8,"NASIS",NA
"77","1983NV029156","LOAMY-SKELETAL",6396256.95468086,3752742.23888238,20,8,"NASIS",NA
"78","1983NV029157","LOAMY-SKELETAL",6393956.4341108,3753289.97855227,20,8,"NASIS",NA
"79","1983NV029158","FINE",6396277.7452495,3754098.68473843,48,9,"NASIS",NA
"80","1983NV029160","LOAMY-SKELETAL",6397168.02281244,3756075.13319188,20,8,"NASIS",NA
"81","1983NV029161","LOAMY-SKELETAL",6396916.53434476,3755338.10102083,20,8,"NASIS",NA
"82","1983NV029162","LOAMY-SKELETAL",6397071.74411289,3755357.30569455,20,8,"NASIS",NA
"83","1983NV029163","LOAMY-SKELETAL",6397194.11963022,3755256.40014524,20,8,"NASIS",NA
"84","1983NV029165","LOAMY",6395995.82504314,3755901.18150785,20,8,"NASIS",NA
"85","1983NV029167","LOAMY-SKELETAL",6392939.23330973,3755601.62531117,20,8,"NASIS",NA
"86","1983NV029168","LOAMY-SKELETAL",6394128.80126719,3752914.72895124,20,8,"NASIS",NA
"87","2002NV029007","LOAMY-SKELETAL",6394761.04915272,3752209.37398736,20,8,"NASIS",NA
"88","1983NV029169","LOAMY-SKELETAL",6396350.34409134,3752260.57602376,20,8,"NASIS",NA
"89","2002NV029008","LOAMY-SKELETAL",6394507.99022423,3751375.47750103,20,8,"NASIS",NA
"90","1983NV029173","CLAYEY",6392107.31323353,3750006.35592436,64,16,"NASIS",NA
"91","1983NV029174","LOAMY-SKELETAL",6392281.30050251,3749727.94707841,20,8,"NASIS",NA
"92","1983NV029177","LOAMY",6392837.00553086,3748558.3819447,20,8,"NASIS",NA
"93","2002NV029009","LOAMY-SKELETAL",6392493.58198644,3747394.21029824,20,8,"NASIS",NA
"94","2002NV029010","LOAMY-SKELETAL",6392394.43662424,3746482.5392612,20,8,"NASIS",NA
"95","2002NV029011","LOAMY-SKELETAL",6392337.57070934,3746823.73514495,20,8,"NASIS",NA
"96","2002NV029012","LOAMY",6390576.81161092,3748802.86578767,20,8,"NASIS",NA
"97","1983NV029065","SANDY",6374145.8327419,3755584.58266487,6,6,"NASIS",NA
"98","1983NV029066","LOAMY-SKELETAL",6365629.25809948,3729572.24487469,20,8,"NASIS",NA
"99","1978NV029020","LOAMY-SKELETAL",6368227.60678174,3730247.38287356,20,8,"NASIS",NA
"100","1978NV029021","CLAYEY-SKELETAL",6361561.85844202,3732948.19877983,64,16,"NASIS",NA
"101","1978NV029023","LOAMY",6363000.62041629,3731609.18132968,20,8,"NASIS",NA
"102","1978NV029024","FINE-LOAMY",6367154.39295964,3731183.73865474,27,6,"NASIS",NA
"103","1978NV029025","LOAMY",6366879.08635569,3731460.5564662,20,8,"NASIS",NA
"104","1978NV029027","LOAMY-SKELETAL",6359326.6699012,3730594.20510343,20,8,"NASIS",NA
"105","1978NV029029","LOAMY-SKELETAL",6364615.51464815,3736812.09124868,20,8,"NASIS",NA
"106","1983NV029069","FINE",6361003.09896886,3728839.84212054,48,9,"NASIS",NA
"107","1983NV029070","FINE-LOAMY",6360927.67818382,3729112.4942855,27,6,"NASIS",NA
"108","1983NV029074","FINE",6365531.21486961,3738760.80815779,48,9,"NASIS",NA
"109","1983NV029076","LOAMY-SKELETAL",6364390.04526351,3736632.48657472,20,8,"NASIS",NA
"110","1983NV029077","LOAMY-SKELETAL",6364079.89043866,3740590.92290291,20,8,"NASIS",NA
"111","2002NV029002","FINE-LOAMY",6366232.43549666,3740116.04577828,27,6,"NASIS",NA
"112","1984NV029018","LOAMY-SKELETAL",6363027.54073778,3733795.78922826,20,8,"NASIS",NA
"113","1978NV029030","FINE",6360664.92684515,3729707.45757107,48,9,"NASIS",NA
"114","1978NV029031","LOAMY-SKELETAL",6363533.8064589,3734536.10083981,20,8,"NASIS",NA
"115","1978NV029032","LOAMY-SKELETAL",6363674.72736774,3734591.5000817,20,8,"NASIS",NA
"116","1978NV029033","LOAMY",6368503.9175908,3731431.69066551,20,8,"NASIS",NA
"117","1984NV029019","COARSE-LOAMY",6378214.71743809,3733145.80898518,10,8,"NASIS",NA
"118","1983NV029079","CLAYEY",6373683.14263117,3737471.63370771,64,16,"NASIS",NA
"119","1983NV029080","LOAMY-SKELETAL",6377932.65956867,3736503.63411864,20,8,"NASIS",NA
"120","2002NV029003","LOAMY-SKELETAL",6370158.14222051,3747325.91929552,20,8,"NASIS",NA
"121","1983NV029081","LOAMY-SKELETAL",6391659.94293294,3755586.16550002,20,8,"NASIS",NA
"122","1983NV029082","LOAMY-SKELETAL",6390343.77464057,3757532.63551588,20,8,"NASIS",NA
"123","1983NV029083","LOAMY-SKELETAL",6389795.44709568,3757629.78318032,20,8,"NASIS",NA
"124","1983NV029084","LOAMY-SKELETAL",6389881.5532302,3757214.8734804,20,8,"NASIS",NA
"125","1984NV029021","LOAMY-SKELETAL",6391283.70041304,3756220.04110447,20,8,"NASIS",NA
"126","1983NV029085","LOAMY-SKELETAL",6389362.52418149,3756690.3024105,20,8,"NASIS",NA
"127","1983NV029088","LOAMY-SKELETAL",6388330.0886288,3757028.06245299,20,8,"NASIS",NA
"128","1983NV029089","LOAMY",6385165.74766026,3754523.94722717,20,8,"NASIS",NA
"129","1983NV029090","LOAMY",6385064.95977757,3754521.34478176,20,8,"NASIS",NA
"130","1983NV029091","LOAMY-SKELETAL",6385035.19438672,3754595.07679475,20,8,"NASIS",NA
"131","1983NV029093","LOAMY",6384936.03444249,3754689.37528763,20,8,"NASIS",NA
"132","1983NV029094","LOAMY",6384783.98981256,3754864.25964146,20,8,"NASIS",NA
"133","1983NV029095","LOAMY",6384623.69637275,3755009.12952928,20,8,"NASIS",NA
"134","1983NV029096","LOAMY-SKELETAL",6384919.63612004,3754174.84204855,20,8,"NASIS",NA
"135","1983NV029097","CLAYEY",6385425.56723066,3753375.82321205,64,16,"NASIS",NA
"136","1983NV029098","LOAMY-SKELETAL",6383416.02579755,3753256.90249654,20,8,"NASIS",NA
"137","1983NV029099","CLAYEY",6383591.35339509,3752620.61563492,64,16,"NASIS",NA
"138","1983NV029100","LOAMY-SKELETAL",6385176.9172257,3751469.38536778,20,8,"NASIS",NA
"139","2009NV029001","LOAMY-SKELETAL",6384978.3460636,3750427.80177363,20,8,"NASIS",NA
"140","1983NV029105","LOAMY-SKELETAL",6384738.53796881,3749327.00726443,20,8,"NASIS",NA
"141","1983NV029106","LOAMY-SKELETAL",6385139.14105341,3751058.59892922,20,8,"NASIS",NA
"142","1983NV029109","LOAMY-SKELETAL",6381376.79845876,3750030.63407373,20,8,"NASIS",NA
"143","1983NV029110","LOAMY-SKELETAL",6381747.20442641,3749920.82259798,20,8,"NASIS",NA
"144","1983NV029111","LOAMY",6383795.88419026,3755546.62012259,20,8,"NASIS",NA
"145","1983NV029113","LOAMY",6387452.21175048,3755015.71543949,20,8,"NASIS",NA
"146","1983NV029114","LOAMY-SKELETAL",6383077.18360827,3755662.31733937,20,8,"NASIS",NA
"147","1983NV029115","CLAYEY",6382493.80057319,3753725.06855635,64,16,"NASIS",NA
"148","1983NV029116","LOAMY-SKELETAL",6381953.90727719,3756579.95226004,20,8,"NASIS",NA
"149","1983NV029117","SANDY",6380545.15524393,3757550.21209756,6,6,"NASIS",NA
"150","1983NV029118","COARSE-LOAMY",6379120.84100825,3757194.13116591,10,8,"NASIS",NA
"151","1983NV029121","LOAMY-SKELETAL",6378674.55919832,3756937.13066984,20,8,"NASIS",NA
"152","1983NV029122","COARSE-LOAMY",6380267.67405409,3757632.64659304,10,8,"NASIS",NA
"153","1983NV029123","LOAMY-SKELETAL",6381859.36282214,3755146.97295737,20,8,"NASIS",NA
"154","1984NV029022","LOAMY-SKELETAL",6378779.28522523,3755412.23996358,20,8,"NASIS",NA
"155","1984NV029023","CLAYEY",6379228.76554707,3755408.55154932,64,16,"NASIS",NA
"156","1984NV029024","LOAMY-SKELETAL",6380345.08397707,3752739.20046782,20,8,"NASIS",NA
"157","1983NV029124","LOAMY-SKELETAL",6385038.2535535,3745311.05018755,20,8,"NASIS",NA
"158","1983NV029125","LOAMY-SKELETAL",6386449.31611376,3745251.02142054,20,8,"NASIS",NA
"159","1983NV029126","CLAYEY",6385355.37127754,3745736.58047846,64,16,"NASIS",NA
"160","1983NV029127","FINE",6384152.39279604,3746189.71562808,48,9,"NASIS",NA
"161","1983NV029130","LOAMY-SKELETAL",6382493.61800581,3745804.25393868,20,8,"NASIS",NA
"162","1982NV029001","FINE",6387493.20158605,3742022.19752333,48,9,"NASIS",NA
"163","1983NV029131","LOAMY-SKELETAL",6382067.5903164,3742976.54573962,20,8,"NASIS",NA
"164","1983NV029132","LOAMY-SKELETAL",6381963.5332219,3742780.1250458,20,8,"NASIS",NA
"165","1983NV029133","CLAYEY",6381540.85837085,3743521.99138867,64,16,"NASIS",NA
"166","1983NV029134","FINE",6379994.73458363,3744369.55684152,48,9,"NASIS",NA
"167","1983NV029135","CLAYEY",6380570.8328428,3746828.35220419,64,16,"NASIS",NA
"168","1984NV029025","CLAYEY",6386919.67333947,3746053.21662954,64,16,"NASIS",NA
"169","1983NV029136","CLAYEY",6382869.27276986,3747900.32104318,64,16,"NASIS",NA
"170","1983NV029137","LOAMY-SKELETAL",6382843.2310581,3747258.8264072,20,8,"NASIS",NA
"171","1983NV029138","LOAMY-SKELETAL",6384065.82675732,3748974.30746713,20,8,"NASIS",NA
"172","1984NV029026","LOAMY-SKELETAL",6381209.75682115,3750242.48982884,20,8,"NASIS",NA
"173","1984NV029027","FINE-LOAMY",6381355.1924354,3750588.94025373,27,6,"NASIS",NA
"174","1983NV029140","CLAYEY",6382321.9380125,3741895.06381779,64,16,"NASIS",NA
"175","1982NV029002","CLAYEY",6389757.1027136,3744437.01147108,64,16,"NASIS",NA
"176","1982NV029003","CLAYEY",6389520.16638351,3744669.11835969,64,16,"NASIS",NA
"177","1982NV029004","CLAYEY",6388533.64234647,3744084.00692103,64,16,"NASIS",NA
"178","1982NV029005","FINE",6390136.5945735,3745915.02776409,48,9,"NASIS",NA
"179","1982NV029006","FINE",6391283.6735424,3745349.77772417,48,9,"NASIS",NA
"180","1982NV029008","FINE",6391899.19612585,3746044.43203206,48,9,"NASIS",NA
"181","1982NV029009","LOAMY-SKELETAL",6391577.86245902,3746333.78526917,20,8,"NASIS",NA
"182","1982NV029012","CLAYEY",6387931.27063498,3747734.02946208,64,16,"NASIS",NA
"183","1982NV029013","LOAMY-SKELETAL",6386428.89298811,3744445.73606632,20,8,"NASIS",NA
"184","1982NV029017","LOAMY-SKELETAL",6385688.68275783,3743755.71902316,20,8,"NASIS",NA
"185","1983NV029142","LOAMY-SKELETAL",6386314.82339932,3747043.27006036,20,8,"NASIS",NA
"186","1983NV029143","LOAMY-SKELETAL",6386201.08445817,3746719.89203659,20,8,"NASIS",NA
"187","1983NV029144","LOAMY",6378828.6989363,3739034.1160027,20,8,"NASIS",NA
"188","1983NV029145","LOAMY-SKELETAL",6378953.35076484,3738575.18748103,20,8,"NASIS",NA
"189","2002NV029004","LOAMY-SKELETAL",6380843.48904655,3739249.02372279,20,8,"NASIS",NA
"190","1983NV029147","LOAMY-SKELETAL",6381741.46612882,3740054.41399952,20,8,"NASIS",NA
"191","1983NV029148","LOAMY-SKELETAL",6381817.16728552,3740421.51778121,20,8,"NASIS",NA
"192","2002NV029005","LOAMY-SKELETAL",6380609.0451425,3740129.89599754,20,8,"NASIS",NA
"193","1983NV029149","CLAYEY",6382966.27667482,3737939.59598959,64,16,"NASIS",NA
"194","1983NV029150","LOAMY-SKELETAL",6380396.34892367,3740906.99422655,20,8,"NASIS",NA
"195","1983NV029152","FINE",6385154.2842007,3740343.77082707,48,9,"NASIS",NA
"196","02ca729198-ewb","LOAMY-SKELETAL",6351861.04237631,3637769.93795097,20,8,"NASIS",NA
"197","02ca729284-ewb","LOAMY-SKELETAL",6346728.53991836,3633210.16264813,20,8,"NASIS",NA
"198","02ca729223-ewb","LOAMY-SKELETAL",6345848.30490035,3627619.68864128,20,8,"NASIS",NA
"199","307A","FINE-LOAMY",6224320.84490734,3788431.49900049,27,6,"NASIS",NA
"200","300P","LOAMY",6218646.40769197,3798006.30407267,20,8,"NASIS",NA
"201","02ca729252-ewb","LOAMY-SKELETAL",6358361.79370231,3610067.99816007,20,8,"NASIS",NA
"202","301Y","FINE",6217218.6697275,3789189.75373572,48,9,"NASIS",NA
"203","2003CA630005","FINE-LOAMY",6274532.14472198,3605237.55733045,27,6,"NASIS",NA
"204","2002CA630002","FINE-LOAMY",6274281.31422815,3605304.24653568,27,6,"NASIS",NA
"205","301C","LOAMY-SKELETAL",6221951.665547,3798309.4432848,20,8,"NASIS",NA
"206","307H","FINE-LOAMY",6226984.19381229,3793526.08270231,27,6,"NASIS",NA
"207","305D","FINE-LOAMY",6206843.63618548,3798612.92015098,27,6,"NASIS",NA
"208","301D","LOAMY",6222966.76193129,3799072.75972149,20,8,"NASIS",NA
"209","301K","LOAMY-SKELETAL",6222450.37521438,3793287.81258523,20,8,"NASIS",NA
"210","02ca729271-ewb","LOAMY-SKELETAL",6348536.33798986,3619894.76169555,20,8,"NASIS",NA
"211","02ca729220-ewb","LOAMY-SKELETAL",6347108.15100553,3628179.22096516,20,8,"NASIS",NA
"212","02ca729200-ewb","LOAMY-SKELETAL",6353060.3988387,3639301.42339141,20,8,"NASIS",NA
"213","307B","FINE-LOAMY",6228348.36958127,3794290.89946605,27,6,"NASIS",NA
"214","02ca729230-ewb","LOAMY-SKELETAL",6344330.28726402,3628385.83428423,20,8,"NASIS",NA
"215","2002CA051002","LOAMY-SKELETAL",6360061.88588094,3636564.99398581,20,8,"NASIS",NA
"216","2001CA051001","LOAMY-SKELETAL",6360392.03305572,3616479.81204572,20,8,"NASIS",NA
"217","01ca729119-ewb","LOAMY-SKELETAL",6334792.50858986,3666283.46729214,20,8,"NASIS",NA
"218","2002CA051001","SANDY-SKELETAL",6350778.94141271,3637053.98439866,6,6,"NASIS",NA
"219","2002CA051004","LOAMY-SKELETAL",6350726.0222858,3637270.74596859,20,8,"NASIS",NA
"220","02ca729276-ewb","SANDY OR SANDY-SKELETAL",6355496.79938941,3635570.72904992,8,8,"NASIS",NA
"221","02ca729272-ewb","LOAMY-SKELETAL",6338340.966876,3624172.56197604,20,8,"NASIS",NA
"222","02ca729273-ewb","LOAMY-SKELETAL",6338267.85832397,3624194.20689722,20,8,"NASIS",NA
"223","305P","LOAMY-SKELETAL",6211180.59982294,3791062.91071279,20,8,"NASIS",NA
"224","01ca729125-ewb","LOAMY-SKELETAL",6347498.12618253,3632447.60220821,20,8,"NASIS",NA
"225","304N","FINE",6208704.20141594,3798406.26807808,48,9,"NASIS",NA
"226","2002CA051003","SANDY-SKELETAL",6357964.28937519,3640132.25048754,6,6,"NASIS",NA
"227","02ca729289-ewb","LOAMY-SKELETAL",6364294.69492101,3638557.10675178,20,8,"NASIS",NA
"228","305E","FINE-LOAMY",6206843.63618548,3798612.92015098,27,6,"NASIS",NA
"229","01ca729120-ewb","SANDY-SKELETAL",6344315.79802081,3642027.17251748,6,6,"NASIS",NA
"230","01ca729122-ewb","SANDY-SKELETAL",6345094.85480088,3642328.81951478,6,6,"NASIS",NA
"231","01ca729123-ewb","SANDY-SKELETAL",6345004.11245178,3641810.40490771,6,6,"NASIS",NA
"232","01ca729126-ewb","LOAMY-SKELETAL",6326110.91644503,3656382.38681648,20,8,"NASIS",NA
"233","01ca729127-ewb","SANDY-SKELETAL",6345104.38417205,3647645.93818688,6,6,"NASIS",NA
"234","01ca729128-ewb","SANDY-SKELETAL",6345766.01966708,3647686.86784857,6,6,"NASIS",NA
"235","01ca729130-ewb","LOAMY-SKELETAL",6346869.94430673,3618111.29223066,20,8,"NASIS",NA
"236","01ca729131-ewb","LOAMY-SKELETAL",6347953.1795062,3620394.00679864,20,8,"NASIS",NA
"237","01ca729134-ewb","LOAMY-SKELETAL",6354418.21186263,3621935.13256569,20,8,"NASIS",NA
"238","99CA017031","COARSE-LOAMY",6318479.19745279,3703103.55243792,10,8,"NASIS",NA
"239","01ca729135-ewb","LOAMY-SKELETAL",6351577.08539127,3621102.45752223,20,8,"NASIS",NA
"240","01ca729136-ewb","FINE-LOAMY",6354661.25844816,3624912.20333856,27,6,"NASIS",NA
"241","01ca729137-ewb","LOAMY-SKELETAL",6355532.47176964,3625159.14132143,20,8,"NASIS",NA
"242","01ca729138-ewb","LOAMY-SKELETAL",6355476.62870802,3626015.45921256,20,8,"NASIS",NA
"243","01ca729139-ewb","LOAMY-SKELETAL",6357794.05896491,3627874.70821084,20,8,"NASIS",NA
"244","307O","FINE-LOAMY",6202886.49497716,3789062.9356291,27,6,"NASIS",NA
"245","01ca729148-ewb","LOAMY-SKELETAL",6362476.94487007,3633551.57448586,20,8,"NASIS",NA
"246","01ca729149-ewb","LOAMY-SKELETAL",6336105.20362412,3620202.93065268,20,8,"NASIS",NA
"247","307P","FINE-SILTY",6204941.85099288,3783307.40527292,27,6,"NASIS",NA
"248","01ca729140-ewb","SANDY-SKELETAL",6360595.42775249,3627462.35346399,6,6,"NASIS",NA
"249","01ca729141-ewb","LOAMY-SKELETAL",6359059.19835525,3626248.98382023,20,8,"NASIS",NA
"250","307Q","CLAYEY",6205629.79195474,3789019.23218108,64,16,"NASIS",NA
"251","01ca729142-ewb","LOAMY-SKELETAL",6359583.01167291,3627810.76245765,20,8,"NASIS",NA
"252","01ca729143-ewb","LOAMY-SKELETAL",6356337.83281058,3633730.99439586,20,8,"NASIS",NA
"253","01ca729145-ewb","LOAMY-SKELETAL",6361184.50192583,3629916.09835182,20,8,"NASIS",NA
"254","01ca729146-ewb","LOAMY-SKELETAL",6361801.15611002,3630033.82614332,20,8,"NASIS",NA
"255","01ca729147-ewb","LOAMY-SKELETAL",6360590.02626579,3632382.65566418,20,8,"NASIS",NA
"256","306O","FINE",6212452.82166407,3787268.09905392,48,9,"NASIS",NA
"257","307R","FINE",6205707.85370204,3789026.5397585,48,9,"NASIS",NA
"258","02ca693-212","PSAMMENTS",6321848.63054002,3694959.06643068,4,8,"NASIS",NA
"259","2002CA630004","FINE",6273806.0891063,3605504.45607655,48,9,"NASIS",NA
"260","GeC02526","SANDY",6325871.85865857,3699338.90363633,6,6,"NASIS",NA
"261","GeD02524","SANDY",6323296.60904463,3695257.77211254,6,6,"NASIS",NA
"262","2003NV019001","LOAMY-SKELETAL",6393512.60345622,3733327.29524006,20,8,"NASIS",NA
"263","2003NV019002","LOAMY-SKELETAL",6393080.28543794,3733310.89184981,20,8,"NASIS",NA
"264","2003NV019003","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL",6379497.68600234,3672615.84035336,18,12,"NASIS",NA
"265","2003NV019004","FINE-SILTY",6379254.99114094,3672456.62021828,27,6,"NASIS",NA
"266","2003NV019008","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL",6398377.93502875,3695564.5796645,18,12,"NASIS",NA
"267","2003NV019009","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL",6397952.00610508,3690990.09548886,18,12,"NASIS",NA
"268","2004CA630008","FINE",6273968.54980743,3605214.03513912,48,9,"NASIS",NA
"269","2003CA630006","FINE-LOAMY",6274543.2537699,3604892.38417102,27,6,"NASIS",NA
"270","2003CA630007","COARSE-LOAMY",6275696.70051541,3603694.73501343,10,8,"NASIS",NA
"271","24-Feb","FINE-LOAMY",6317426.39909503,3733984.37631853,27,6,"NASIS",NA
"272","2003NV019010","COARSE-LOAMY",6397813.69215186,3691224.69838343,10,8,"NASIS",NA
"273","03CA729003jbf","LOAMY-SKELETAL",6341454.46430046,3613166.8192967,20,8,"NASIS",NA
"274","03CA729006jbf","LOAMY-SKELETAL",6371495.5845635,3635020.17052409,20,8,"NASIS",NA
"275","03CA729007jbf","LOAMY-SKELETAL",6360365.1624247,3630337.67726835,20,8,"NASIS",NA
"276","03CA729008jbf","LOAMY-SKELETAL",6366634.27721619,3628562.47070672,20,8,"NASIS",NA
"277","03CA729009jbf","LOAMY-SKELETAL",6370009.53118002,3630488.31802779,20,8,"NASIS",NA
"278","03CA729010jbf","LOAMY-SKELETAL",6365175.05672757,3632116.90494441,20,8,"NASIS",NA
"279","03CA729011jbf","SANDY-SKELETAL",6369056.44438369,3637277.97760472,6,6,"NASIS",NA
"280","03CA729012jbf","LOAMY-SKELETAL",6367171.52664073,3629141.41866472,20,8,"NASIS",NA
