"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"2621","S1968CA057007","FINE",6238125.17268843,3753742.31537338,48,9,"NASIS",NA
"2622","S1968CA057029","FINE",6233196.15743184,3767264.62135456,48,9,"NASIS",NA
"2623","S1968CA057030","FINE",6231900.46111242,3764603.35319867,48,9,"NASIS",NA
"2624","S1968CA057031","FINE",6249292.42753561,3754111.29588622,48,9,"NASIS",NA
"2625","S1968CA057032","FINE",6249998.6634387,3754018.18321999,48,9,"NASIS",NA
"2626","S1968CA057033","FINE",6250886.81502071,3767698.03972049,48,9,"NASIS",NA
"2627","S1968CA057034","FINE",6248639.22550715,3767268.58569245,48,9,"NASIS",NA
"2628","S1968CA057035","FINE",6244633.48850149,3765765.20694279,48,9,"NASIS",NA
"2629","S1968CA057036","CLAYEY-SKELETAL",6244934.97622121,3764818.22650834,64,16,"NASIS",NA
"2630","S1961CA061001","LOAMY",6212370.34283133,3725044.52274318,20,8,"NASIS",NA
"2631","S1961CA061002","LOAMY",6212356.26023976,3725081.8647822,20,8,"NASIS",NA
"2635","S1968CA061007","LOAMY-SKELETAL",6318363.04045156,3736312.11480141,20,8,"NASIS",NA
"2636","S1968CA061010","LOAMY-SKELETAL",6317565.05775231,3734113.49031494,20,8,"NASIS",NA
"2637","S1969CA061003","LOAMY",6204298.89482405,3718965.61597936,20,8,"NASIS",NA
"2638","S1969CA061008","FINE-LOAMY",6204284.81344638,3719002.99199222,27,6,"NASIS",NA
"2639","S1969CA061010","FINE-LOAMY",6210609.69642633,3725545.24597746,27,6,"NASIS",NA
"2640","S1969CA061011","LOAMY",6210609.69642633,3725545.24597746,20,8,"NASIS",NA
"2641","S1969CA061012","LOAMY",6210359.86682522,3723759.52649825,20,8,"NASIS",NA
"2642","S1969CA061013","FINE",6210327.36010058,3723737.15780142,48,9,"NASIS",NA
"2643","S1969CA061018","FINE",6210616.14855136,3729505.40338484,48,9,"NASIS",NA
"2644","S1969CA061020","FINE",6207362.32566292,3730030.33371372,48,9,"NASIS",NA
"2645","S1969CA061021","FINE",6205352.30019105,3731825.86438619,48,9,"NASIS",NA
"2646","S1969CA061022","COARSE-LOAMY",6216775.05986047,3712306.18678883,10,8,"NASIS",NA
"2647","S1969CA061023","LOAMY",6217350.99288218,3716670.66274147,20,8,"NASIS",NA
"2648","S1961CA063012","FINE-LOAMY",6324199.27209949,3792930.84217718,27,6,"NASIS",NA
"2649","S1961CA063013","CLAYEY OVER LOAMY",6324182.09365676,3792870.78355449,46,10,"NASIS",NA
"2650","S1961CA063014","CLAYEY OVER LOAMY",6322219.38722529,3795105.51204768,46,10,"NASIS",NA
"2651","S1961CA063015","COARSE-LOAMY",6322944.07916461,3796414.20307399,10,8,"NASIS",NA
