x y pb
190425     315009      57.0
190530     315088     297.0
190650     315113     426.0
190645     314978     391.0
190725     314973     295.0
190565     314983      88.0
190508     314998      91.0
190555     315485     423.0
190715     315423     366.0
190633     315455     289.0
190498     315460      91.0
190325     315405     154.0
190370     315460     170.0
190730     315420     230.0
190795     315425      80.0
190873     315423      61.0
190690     315108     327.0
190720     315103     314.0
190788     315090     131.0
190863     315078     192.0
190788     314923     363.0
190885     314928     135.0
190978     314938      75.0
191088     314945      81.0
191198     314950      80.0
190580     314690      28.0
190760     314695      42.0
190683     314698      23.0
190713     314698      17.0
190748     314700      54.0
190818     314703     328.0
190828     314703     395.0
190880     314700     267.0
190890     314700     114.0
190943     314700     416.0
191048     314700      67.0
191103     314698      51.0
191153     314695      61.0
190293     315470      55.0
190325     315480      61.0
190355     315510     159.0
190398     315523     229.0
190443     315540     134.0
190480     315543     151.0
190538     315578     145.0
190580     315553     347.0
190628     315573     323.0
190668     315575     353.0
190605     315265     394.0
190558     315268     344.0
190533     315273     312.0
190475     315280     110.0
190430     315263     271.0
190380     315245      87.0
190620     315273     370.0
190655     315290     239.0
190688     315308     314.0
190730     315330     190.0
190760     315420     118.0
190775     315423      69.0
191150     314945      57.0
190938     314930      70.0
190838     314925     516.0
190543     314985      93.0
191502     314011     178.9
191887     314026      49.3
191680     314027      78.7
191770     314044     120.6
191802     314081      86.3
191580     314084     168.5
191449     314108     293.5
191575     314143     340.6
191646     314148     136.2
191758     314189      97.8
191480     314206     276.7
191588     314224     251.6
191712     314286      52.0
191448     314317     322.4
191538     314375     153.6
190921     314381     587.9
191647     314390      58.7
190816     314405      82.8
191015     314424     665.3
191483     314426     154.7
191350     314446     459.9
191168     314462     425.3
191473     314465     140.0
190889     314475     548.0
191068     314527     558.3
190979     314545     493.8
191238     314546     392.3
191311     314558     156.5
191457     314558      47.1
191408     314575     153.4
191180     314581     416.0
191084     314618     482.6
191436     314664      40.0
190240     315930     474.9
190150     315950     191.5
190330     315970     276.3
